10 Things I Hate About You	1999	10-things-i-hate-about-you
A Century of Flight	2025	a-century-of-flight-2025
A Fading Man	2026	a-fading-man
A Good Year	2006	a-good-year
After the Hunt	2025	after-the-hunt-2025
Aliens	1986	aliens
Anaconda	2025	anaconda-2025
Apollo 13	1995	apollo-13
Avatar: Fire and Ash	2025	avatar-fire-and-ash
Basta Mamá	2026	basta-mama
Before Sunrise	1995	before-sunrise
Billie Eilish — Hit Me Hard and Soft: The Tour (Live in 3D)	2026	billie-eilish-hit-me-hard-and-soft-the-tour
Blue Moon	2025	blue-moon-2025
Bohemian Rhapsody	2018	bohemian-rhapsody
Book Club: The Next Chapter	2023	book-club-the-next-chapter
Bridget Jones's Diary	2001	bridget-joness-diary
Captain America: Civil War	2016	captain-america-civil-war
Cars	2006	cars
Cars 2	2011	cars-2
Cars 3	2017	cars-3
Central Station	1998	central-station
Christy	2025	christy-2025-1
Clueless	1995	clueless
Coco	2017	coco-2017
Copa 71	2023	copa-71
Couples Retreat	2009	couples-retreat
Crazy Rich Asians	2018	crazy-rich-asians
Crime 101	2026	crime-101
Dead Man's Wire	2025	dead-mans-wire
Deadpool	2016	deadpool
Deadpool & Wolverine	2024	deadpool-wolverine
Elvis	2022	elvis-2022
Embrace of the Serpent	2015	embrace-of-the-serpent
Encanto	2021	encanto
F1	2025	f1
Fast X	2023	fast-x
Ferris Bueller's Day Off	1986	ferris-buellers-day-off
Field of Dreams	1989	field-of-dreams
First Man	2018	first-man
Flamin' Hot	2023	flamin-hot
Fool's Gold	2008	fools-gold-2008
Forrest Gump	1994	forrest-gump
GOAT	2026	goat-2026
GoodFellas	1990	goodfellas
H Is for Hawk	2025	h-is-for-hawk
Hamnet	2025	hamnet
Harry Potter and the Philosopher's Stone	2001	harry-potter-and-the-philosophers-stone
Homebound	2025	homebound-2025
Hoppers	2026	hoppers
How Stella Got Her Groove Back	1998	how-stella-got-her-groove-back
How to Lose a Guy in 10 Days	2003	how-to-lose-a-guy-in-10-days
I Love Boosters	2026	i-love-boosters
I Swear	2025	i-swear
I'm Still Here	2024	im-still-here-2024
In the Heights	2021	in-the-heights
Independence Day	1996	independence-day
Instructions Not Included	2013	instructions-not-included
Is God Is	2026	is-god-is
Is This Thing On?	2025	is-this-thing-on-2025
It's Complicated	2009	its-complicated
It's Never Over, Jeff Buckley	2025	its-never-over-jeff-buckley
John Wick	2014	john-wick
Kokuho	2025	kokuho
Under the Same Moon	2007	under-the-same-moon
Lee Cronin's The Mummy	2026	lee-cronins-the-mummy
Lincoln	2012	lincoln
Lion	2016	lion
Little Miss Sunshine	2006	little-miss-sunshine
